Aen (update),Aen2,FG-Q,P2_1,P2_2,P694
uncertain (mod. Abū Jāmūs),Abū Jāmūs,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/664
uncertain (mod. Abu Sêcher),Abu Sêcher,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/123
Adabilu (mod. uncertain),Adabilu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/362
uncertain (mod. Adams 1981; site 1069),Adams 1981; site 1069,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/850
uncertain (mod. Adilcevaz),Adilcevaz,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/659
Agamatanu (mod. uncertain),Agamatanu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/56
Tripoli (mod. Al Mina),Al Mina,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/647
uncertain (mod. Al-Bilād al-Qadīm),Al-Bilād al-Qadīm,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/700
uncertain (mod. Al-Karnak),Al-Karnak,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/799
uncertain (mod. Al-Mukhaṭṭaṭ),Al-Mukhaṭṭaṭ,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/861
uncertain (mod. Äl-Mušēzib-Marduk),Äl-Mušēzib-Marduk,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1024
uncertain (mod. Al-Rammāḥīyah),Al-Rammāḥīyah,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/911
Āl-šarri (mod. uncertain),Āl-šarri,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/445
Āl-šarri-ša-qašti-eššeti (mod. uncertain),Āl-šarri-ša-qašti-eššeti,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/446
Alu-binatu (mod. uncertain),Alu-binatu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/267
Alu-eššu (mod. uncertain),Alu-eššu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/287
Alu-ša-BAD-MAH-AN (mod. uncertain),Alu-ša-BAD-MAH-AN,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/181
Ālu-ša-Našar (mod. uncertain),Ālu-ša-Našar,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/447
Alu-ša-šuma-ukin (mod. uncertain),Alu-ša-šuma-ukin,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/203
Ālu-ša-Ṭūb-Yāma (mod. uncertain),Ālu-ša-Ṭūb-Yāma,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/448
Alu-šabtu (mod. uncertain),Alu-šabtu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/239
Amurru-šar-uṣur (mod. uncertain),Amurru-šar-uṣur,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/363
Apšu (mod. uncertain),Apšu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1022
Aqa (mod. uncertain),Aqa,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/57
uncertain (mod. Aqabi),Aqabi,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/407
Erebuni (mod. Arin Berd),Arin Berd,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/672
Arzaškun (mod. Arinçkus),Arinçkus,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/673
Ba-milkišu (mod. uncertain),Ba-milkišu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/17
Bāb-ṣubbāti (mod. uncertain),Bāb-ṣubbāti,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/366
Baḫe (mod. uncertain),Baḫe,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/316
uncertain (mod. Bakr Āwā),Bakr Āwā,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/691
uncertain (mod. Banāt al-Hassan 100),Banāt al-Hassan 100,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/696
uncertain (mod. Banāt al-Hassan 131),Banāt al-Hassan 131,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/697
uncertain (mod. Basṭām),Basṭām,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/709
Bīt-Abī-rām (mod. uncertain),Bīt-Abī-rām,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/367
Bit-ali-... (mod. uncertain),Bit-ali-...,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/127
Bīt-Bāba-ēriš (mod. uncertain),Bīt-Bāba-ēriš,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/368
Bit-bari (mod. uncertain),Bit-bari,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1008
Bīt-Dibušiti (mod. uncertain),Bīt-Dibušiti,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/369
Bīt-Ḫaḫḫūru (mod. uncertain),Bīt-Ḫaḫḫūru,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1020
Bīt-ham... (mod. uncertain),Bīt-ham...,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/372
Bit-ḫulummu (mod. uncertain),Bit-ḫulummu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/236
Bit-kunanu (mod. uncertain),Bit-kunanu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1007
Bīt-Našar (mod. uncertain),Bīt-Našar,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/370
Bīt-Naʾinnašu (mod. uncertain),Bīt-Naʾinnašu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/371
Bit-Šaḫṭu (mod. uncertain),Bit-Šaḫṭu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/197
Bit-šar-Babili (mod. uncertain),Bit-šar-Babili,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/269
Bīt-Šinqā (mod. uncertain),Bīt-Šinqā,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/373
Bit-ṭab-bel (mod. uncertain),Bit-ṭab-bel,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/125
Bit-zerija (mod. uncertain),Bit-zerija,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/31
Liyan (mod. Būs̱har),Būs̱har,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/844
uncertain (mod. Chaman-i Ḥaz̤ūrī),Chaman-i Ḥaz̤ūrī,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/802
uncertain (mod. Chamchamal),Chamchamal,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1011
uncertain (mod. Chenar-e Pain),Chenar-e Pain,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/653
uncertain (mod. Chia Puikeh),Chia Puikeh,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/655
uncertain (mod. Chughā Pahn East),Chughā Pahn East,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/719
